City,Temperature,Humidity,Longitude,Latitude,Cloudiness,Country,Windspeed,Date
busselton,289.26,73,115.33,-33.65,76,AU,2.49,1604275925
kavieng,303.47,64,150.8,-2.57,1,PG,2.23,1604275946
ribeira grande,291.04,73,-28.7,38.52,88,PT,7.71,1604275946
linhares,292.87,86,-40.07,-19.39,99,BR,5.0,1604275946
rikitea,296.69,85,-134.97,-23.12,88,PF,10.34,1604275947
fortuna,288.71,76,-124.16,40.6,1,US,3.6,1604275655
saint-louis,301.15,37,-15.0,16.33,0,SN,4.04,1604275947
bluff,285.93,65,168.33,-46.6,85,NZ,5.36,1604275947
hermanus,290.93,82,19.23,-34.42,20,ZA,2.68,1604275747
coquimbo,286.15,82,-71.34,-29.95,75,CL,3.1,1604275908
sur,294.38,31,59.53,22.57,0,OM,1.75,1604275948
at-bashi,271.6,64,75.81,41.17,60,KG,0.46,1604275949
markova,275.33,84,24.41,48.68,5,UA,2.25,1604275949
iqaluit,262.15,85,-68.51,63.75,90,CA,2.1,1604275949
new norfolk,293.71,45,147.06,-42.78,98,AU,0.45,1604275949
zhezkazgan,276.22,62,67.71,47.8,45,KZ,1.41,1604275950
pultusk,279.82,73,21.08,52.7,71,PL,3.69,1604275950
avarua,299.15,88,-159.78,-21.21,73,CK,7.2,1604275950
yellowknife,264.26,85,-114.35,62.46,75,CA,3.1,1604275750
ivanava,276.84,93,25.54,52.15,0,BY,0.16,1604275951
clyde river,261.15,85,-68.59,70.47,20,CA,2.6,1604275951
lebu,284.65,95,-73.65,-37.62,74,CL,1.8,1604275951
hilo,304.15,55,-155.09,19.73,1,US,3.1,1604275951
tiznit,293.98,27,-9.5,29.58,0,MA,1.5,1604275952
jamestown,274.26,92,-79.24,42.1,90,US,9.3,1604275952
port lincoln,296.62,43,135.87,-34.73,46,AU,6.42,1604275952
chalus,289.15,93,51.42,36.66,40,IR,2.1,1604275953
albany,278.15,78,-73.97,42.6,98,US,4.66,1604275712
atuona,298.48,78,-139.03,-9.8,73,PF,6.44,1604275953
cape town,290.93,72,18.42,-33.93,0,ZA,2.6,1604275635
sweetwater,300.93,83,-80.37,25.76,40,US,4.1,1604275954
qaanaaq,256.94,74,-69.36,77.48,0,GL,2.99,1604275954
sao joao da barra,293.46,78,-41.05,-21.64,92,BR,6.75,1604275954
airai,296.11,53,125.41,-8.93,72,TL,1.66,1604275955
naze,297.15,88,129.48,28.37,20,JP,3.6,1604275955
agadir,289.15,77,-9.6,30.42,0,MA,3.6,1604275955
puerto ayora,294.26,90,-90.35,-0.74,81,EC,2.24,1604275956
bredasdorp,291.15,88,20.04,-34.53,55,ZA,5.1,1604275956
cayenne,299.15,100,-52.33,4.93,97,GF,0.5,1604275956
mataura,285.93,65,168.86,-46.19,57,NZ,5.36,1604275695
ushuaia,288.15,51,-68.3,-54.8,75,AR,8.7,1604275957
punta arenas,285.15,76,-70.92,-53.15,0,CL,3.6,1604275957
tabas,287.15,22,56.92,33.6,0,IR,2.1,1604275957
port alfred,291.21,85,26.89,-33.59,29,ZA,7.8,1604275957
oxapampa,288.91,88,-75.4,-10.58,97,PE,0.42,1604275958
vaini,299.15,78,-175.2,-21.2,75,TO,4.6,1604275958
chipinge,288.05,98,32.62,-20.19,18,ZW,2.06,1604275958
kaitangata,284.82,63,169.85,-46.28,58,NZ,4.92,1604275958
lavrentiya,268.13,87,-171.0,65.58,11,RU,2.14,1604275696
esperance,292.15,93,121.9,-33.87,99,AU,6.2,1604275959
bethel,285.15,93,-73.41,41.37,90,US,4.1,1604275959
hobart,293.71,63,147.33,-42.88,0,AU,4.1,1604275765
harper,298.36,89,-7.72,4.38,26,LR,2.74,1604275960
itarema,299.66,81,-39.92,-2.92,4,BR,6.76,1604275960
san-pedro,298.1,92,-6.64,4.75,32,CI,2.54,1604275960
te anau,287.4,44,167.72,-45.42,81,NZ,0.52,1604275763
qui nhon,297.57,83,109.23,13.77,100,VN,6.44,1604275960
cotcot,289.48,100,120.84,16.83,100,PH,1.78,1604275961
san fernando,297.15,94,120.69,15.03,90,PH,5.1,1604275961
cherskiy,256.59,93,161.3,68.75,99,RU,2.42,1604275962
kulhudhuffushi,301.14,67,73.07,6.62,28,MV,2.25,1604275962
miram shah,288.1,20,70.07,33.01,0,PK,3.69,1604275962
porto franco,301.09,56,-47.4,-6.34,72,BR,0.19,1604275962
raudeberg,281.48,86,5.14,61.99,98,NO,10.4,1604275963
viedma,292.59,49,-63.0,-40.81,0,AR,8.64,1604275794
butaritari,300.99,76,172.79,3.07,32,KI,4.13,1604275818
arraial do cabo,293.71,74,-42.03,-22.97,77,BR,7.5,1604275963
khatanga,258.24,95,102.5,71.97,98,RU,2.64,1604275963
tuktoyaktuk,263.15,85,-133.04,69.45,90,CA,6.2,1604275964
walvis bay,285.93,87,14.51,-22.96,65,NA,4.1,1604275964
kaeo,297.59,71,173.78,-35.1,100,NZ,4.02,1604275965
saint-philippe,294.15,56,55.77,-21.36,90,RE,4.1,1604275965
fairbanks,257.59,84,-147.72,64.84,20,US,0.52,1604275965
bay roberts,277.59,77,-53.26,47.6,73,CA,3.58,1604275965
barrow,271.15,68,-156.79,71.29,75,US,8.2,1604275758
deulgaon raja,292.9,63,76.03,20.02,0,IN,2.71,1604275966
vila velha,295.15,78,-40.29,-20.33,75,BR,8.7,1604275733
chuy,285.07,82,-53.46,-33.7,0,UY,2.58,1604275774
zhigansk,254.98,91,123.37,66.77,88,RU,8.72,1604275967
cabo san lucas,303.71,65,-109.91,22.89,25,MX,1.34,1604275870
castro,283.76,94,-50.01,-24.79,22,BR,3.52,1604275967
kapaa,301.15,78,-159.32,22.08,75,US,6.7,1604275747
mar del plata,288.71,72,-57.56,-38.0,0,AR,1.5,1604275968
korla,275.93,56,86.15,41.76,24,CN,3.58,1604275968
ponta do sol,294.15,83,-17.1,32.67,40,PT,2.1,1604275968
hasaki,292.15,82,140.83,35.73,75,JP,2.6,1604275969
souillac,293.15,94,57.52,-20.52,20,MU,0.5,1604275969
paraiso,293.15,94,-83.87,9.84,75,CR,3.1,1604275969
tommot,250.62,88,126.29,58.96,99,RU,0.42,1604275970
acapulco,300.92,75,-99.89,16.86,93,MX,3.12,1604275970
kpandae,299.45,72,-0.01,8.47,53,GH,2.31,1604275970
west wendover,287.15,28,-114.07,40.74,1,US,1.5,1604275971
majene,301.18,75,118.97,-3.54,100,ID,2.68,1604275971
xingcheng,280.12,49,120.72,40.62,31,CN,5.57,1604275971
tasiilaq,271.15,79,-37.64,65.61,60,GL,4.6,1604275971
faanui,299.98,80,-151.75,-16.48,24,PF,9.71,1604275972
yamada,290.31,68,141.95,39.47,99,JP,4.75,1604275972
east london,291.76,82,27.91,-33.02,76,ZA,6.58,1604275972
bukachacha,261.6,86,116.92,52.98,61,RU,2.19,1604275973
kurkino,279.47,90,38.66,53.43,91,RU,4.03,1604275973
pevek,263.65,93,170.31,69.7,98,RU,4.5,1604275973
birjand,276.15,13,59.22,32.87,0,IR,3.1,1604275974
mahebourg,293.15,94,57.7,-20.41,20,MU,0.5,1604275974
broome,277.59,93,-75.83,42.25,40,US,2.6,1604275974
bjorkelangen,284.26,97,11.57,59.88,100,NO,6.09,1604275974
mushie,294.95,96,16.9,-3.02,99,CD,1.34,1604275975
matagami,272.15,100,-77.63,49.75,90,CA,13.9,1604275975
rawson,297.75,25,-65.1,-43.3,34,AR,11.22,1604275846
berdigestyakh,252.33,91,126.7,62.1,87,RU,1.48,1604275975
kodiak,272.15,42,-152.41,57.79,90,US,7.2,1604275976
chapais,273.15,100,-74.85,49.78,90,CA,2.6,1604275976
balkhash,277.9,68,74.98,46.84,55,KZ,1.39,1604275977
port elizabeth,291.15,88,25.57,-33.92,0,ZA,4.6,1604275815
atambua,302.73,49,124.89,-9.11,40,ID,0.88,1604275977
orimattila,280.93,91,25.73,60.8,97,FI,3.58,1604275977
presidencia roque saenz pena,292.61,58,-60.44,-26.79,0,AR,3.27,1604275978
linxia,274.62,77,103.21,35.6,0,CN,0.48,1604275978
madang,303.09,65,145.8,-5.22,38,PG,0.61,1604275978
chartres,290.37,90,1.5,48.42,100,FR,4.47,1604275979
wuning,288.29,89,120.23,29.26,100,CN,0.89,1604275979
nanortalik,273.11,86,-45.24,60.14,0,GL,18.14,1604275979
lumeje,293.78,64,20.78,-11.55,1,AO,2.4,1604275979
dikson,265.58,98,80.55,73.51,99,RU,3.83,1604275980
ruwi,292.15,72,58.55,23.6,0,OM,1.0,1604275980
tingo maria,295.49,76,-76.01,-9.29,100,PE,0.73,1604275980
karasjok,278.15,86,25.51,69.47,100,NO,21.1,1604275980
camacha,292.15,82,-16.33,33.08,20,PT,1.43,1604275981
sitka,282.15,87,-135.33,57.05,90,US,9.3,1604275981
kaputa,296.02,64,29.66,-8.47,72,ZM,1.19,1604275981
san patricio,298.15,47,-97.52,28.02,20,US,4.6,1604275981
byron bay,297.59,64,153.62,-28.65,40,AU,8.7,1604275373
bambous virieux,293.15,94,57.76,-20.34,20,MU,0.5,1604275983
thompson,268.15,92,-97.86,55.74,75,CA,3.1,1604275768
samarai,301.58,75,150.67,-10.62,50,PG,3.46,1604275983
pangnirtung,260.68,85,-65.71,66.15,88,CA,1.69,1604275752
sorland,283.58,75,12.69,67.67,100,NO,11.98,1604275984
georgetown,299.15,94,100.34,5.41,40,MY,1.0,1604275984
san pedro de ycuamandiyu,296.39,48,-57.08,-24.09,30,PY,2.23,1604275985
havoysund,279.15,75,24.66,71.0,0,NO,10.3,1604275985
lingao,295.44,83,109.69,19.91,97,CN,0.59,1604275985
pietersburg,287.15,82,29.47,-23.9,41,ZA,1.5,1604275986
uporovo,269.8,98,66.27,56.31,2,RU,1.89,1604275986
foggia,285.15,100,15.53,41.45,20,IT,2.1,1604275986
roald,283.15,66,6.13,62.58,83,NO,7.7,1604275986
tobol,271.16,98,62.58,52.68,38,KZ,3.32,1604275987
olafsvik,275.66,82,-23.71,64.89,56,IS,7.54,1604275987
santa rosa,299.82,88,121.11,14.31,90,PH,2.1,1604275987
kununurra,305.15,55,128.73,-15.77,95,AU,1.0,1604275763
sao filipe,299.32,76,-24.5,14.9,79,CV,4.1,1604275988
kirakira,301.42,77,161.92,-10.45,93,SB,5.99,1604275988
zdvinsk,275.55,96,78.66,54.7,100,RU,5.67,1604275989
marawi,300.37,79,124.29,8.0,100,PH,0.89,1604275989
quzhou,288.53,90,118.87,28.96,100,CN,1.15,1604275989
anadyr,264.15,92,177.48,64.75,75,RU,3.0,1604275990
provideniya,268.15,67,-173.3,64.38,0,RU,1.0,1604275990
pingliang,277.03,64,106.69,35.54,0,CN,0.67,1604275990
faya,288.15,33,42.45,18.39,0,SA,0.71,1604275753
henties bay,285.93,91,14.28,-22.12,31,NA,2.51,1604275991
nikolskoye,274.26,100,30.79,59.7,90,RU,3.0,1604275753
severnyy,282.15,100,36.55,50.68,90,RU,3.0,1604275991
alice springs,302.15,12,133.88,-23.7,0,AU,5.1,1604275767
portland,291.15,39,-122.68,45.52,1,US,5.1,1604275835
yatou,284.6,44,122.38,37.15,0,CN,2.45,1604275992
